tensor(0.3042, device='cuda:0')
tensor(0.5654, device='cuda:0')
tensor(0.6633, device='cuda:0')
tensor(0.7264, device='cuda:0')
tensor(0.7705, device='cuda:0')
tensor(0.7301, device='cuda:0')
tensor(0.8360, device='cuda:0')
tensor(0.8529, device='cuda:0')
tensor(0.8688, device='cuda:0')
tensor(0.8792, device='cuda:0')
tensor(0.3699, device='cuda:0')
tensor(0.6003, device='cuda:0')
tensor(0.6890, device='cuda:0')
tensor(0.7530, device='cuda:0')
tensor(0.7954, device='cuda:0')
tensor(0.8157, device='cuda:0')
tensor(0.8428, device='cuda:0')
tensor(0.8664, device='cuda:0')
tensor(0.8723, device='cuda:0')
tensor(0.8983, device='cuda:0')
tensor(0.8992, device='cuda:0')
tensor(0.9134, device='cuda:0')
tensor(0.9217, device='cuda:0')
tensor(0.9291, device='cuda:0')
tensor(0.9276, device='cuda:0')
tensor(0.9370, device='cuda:0')
tensor(0.9384, device='cuda:0')
tensor(0.9507, device='cuda:0')
